Index,FEN,Answer1,Answer2,CorrectAnswer
1,2r2rk1/1p1qbppp/pBnp1n2/3Np3/Q3P3/5N2/PPP2PPP/R3K2R b KQ - 0 1,Nb8,Qg4,Answer2
2,2r4k/p1r1p2p/3pQ1p1/8/5R2/PN1qp3/1P4PP/2R1K3 w - - 0 1,g4,Rd1,Answer2
3,3k1NQ1/pp2r3/2pb4/3p4/N7/1P1B4/P1P1KPP1/R3R2q w - - 0 1,Ne6+,Kf3,Answer1
4,6k1/2q2rp1/3b1p1p/1Rp2P1N/p1PpP1QP/P7/6P1/6K1 b - - 0 1,d3,Re7,Answer1
5,1Q6/ppnk3p/2p1b1p1/8/n4B2/2N5/Pq3PPP/3K1BNR b - - 0 1,Qxc3,Nxc3+,Answer2
6,r4rk1/ppp2ppp/2np1q2/4p1bB/1P2P3/P1N4P/2PN4/R1BQ1K1R w - - 0 1,Kg2,Kg1,Answer1
7,r4rk1/1pp3p1/p1n2q1p/8/4R2P/2P4P/P1PB1P2/R2Q2K1 w - - 0 1,Qe2,Bf4,Answer1
8,1rb2rk1/pp3p2/3q3p/3N2p1/6n1/3B4/PPP1RPPP/R2Q1K2 b - - 0 1,Qxh2,Qxd5,Answer1
9,r1b2kr1/1p1p1p1p/p7/2PQnB2/1P6/P6P/5PPq/R3RK2 b - - 0 1,Nc6,d6,Answer1
10,r1bq1rk1/ppp2ppp/3p1n2/2b1p3/2BnP3/2NPBN2/PPP2PPP/R2Q1RK1 w - - 0 1,Nxd4,h3,Answer2
11,8/1k1N4/6p1/5p2/3P3P/r5P1/5P2/6K1 b - - 0 1,Kc7,Rd3,Answer1
12,2k3r1/ppp2p2/3p2r1/3Pq2p/4P2P/1P3QP1/P4P2/1R3RK1 w - - 0 1,Kh1,Rfc1,Answer1
13,2r3k1/2r2pp1/2q1p2p/p2p4/2P1n3/1P1Q1NP1/P1R2P1P/2R2K2 b - - 0 1,dxc4,Qa6,Answer2
14,4rk2/p4p1p/npp5/2bp2q1/8/1P2PNP1/PQP2P1P/5RK1 b - - 0 1,Qe7,Qf5,Answer2
15,q4rk1/3n4/p1r3pp/2ppP3/6P1/3Pb2P/PBQ1N2K/1R3R2 b - - 0 1,a5,Nxe5,Answer1
16,r1bq1rk1/p1pp1ppp/1pn3n1/2b5/2B1PQ2/5N2/PPP2PPP/RNB2RK1 w - - 0 1,Qg4,Qd2,Answer2
17,r2qk2r/ppp2ppp/2np4/2b1p3/2BNP1b1/3PP3/PPP2QPP/RN2K2R b KQkq - 0 1,exd4,O-O,Answer2
18,4n3/p7/3k1ppp/2pp4/8/1N1K3P/PPP2PP1/8 w - - 0 1,c4,c3,Answer1
19,8/2R1Bk2/3Kr2p/5p2/8/8/8/8 w - - 0 1,Kd7,Kd5,Answer2
20,1r3rk1/2ppR1b1/pp3q2/3P2Np/P2p3Q/3P4/1PP2PPP/R5K1 w - - 0 1,Rae1,Qxh5,Answer1
21,2r5/5k2/pq3pNb/3bp3/1p2P3/1P6/4QPP1/3R2K1 w - - 0 1,Rxd5,exd5,Answer2
22,6k1/ppp3r1/3p3R/3P4/3p4/P4r2/KP6/7R b - - 0 1,Rff7,Rf5,Answer2
23,2r2Nnr/1pk5/2pp1p2/p5pp/P7/2N5/1P2QPKP/R1B5 w - - 0 1,Qe7+,Ng6,Answer2
24,8/1p3R2/2p5/2P5/PP1k1n2/3B1p1r/3K4/8 w - - 0 1,Rxf4+,Rd7+,Answer1
25,rn1qk2r/pppb2pp/5n2/1B1P1p2/1b1Pp3/2N2P1N/PPP3PP/R1BQK2R w KQkq - 0 1,Bxd7+,a3,Answer1
26,2br3k/2Q5/p2r4/1p2p2p/4Ppp1/1BP2P2/PP4PP/7K w - - 0 1,h3,Bd5,Answer2
27,8/8/p1b1B2p/6p1/1p2k3/6P1/PPP4P/7K w - - 0 1,Kg2,Kg1,Answer2
28,5k2/8/8/5K2/p1QP4/4r3/5r2/8 w - - 0 1,Kg4,Kg6,Answer1
29,4K3/4P3/2PBk3/8/7r/8/8/8 w - - 0 1,c7,Kd8,Answer2
30,r3kb2/2p2p2/p2p3p/1P1P4/3Qp3/1PK2q2/1P2N3/R1B5 w q - 0 1,Qe3,Be3,Answer1
31,5k2/R4ppp/6P1/P7/2P5/2KP4/3rrPb1/8 b - - 0 1,Bc6,hxg6,Answer2
32,2qr4/1p4k1/p2P1p1p/P2Qp1p1/2B1P3/5P2/6PP/6K1 b - - 0 1,Qd7,Qc6,Answer1
33,2rqr1k1/1b1nbppp/1p3n2/p2p4/P2p4/1PNBPN1P/1Q3PP1/R1B1R1K1 w - - 0 1,Nxd4,exd4,Answer2
34,5rk1/R6p/4p1p1/4P1B1/1P1nP3/8/PP4PP/6K1 w - - 0 1,a4,Bf6,Answer2
35,5rk1/6b1/7p/P1Q5/1P1P4/2P4R/1KN2rq1/7R w - - 0 1,Qc4+,,Answer1
36,2r3k1/pp2Rpbp/6p1/3n1q2/8/Q7/P1r3PP/4R2K b - - 0 1,Nxe7,,Answer1
37,r2qkbnr/ppp1pppp/2n5/8/3PN1b1/8/PPP1NPPP/R1BQKB1R b KQkq - 0 1,e5,Nxd4,Answer1
38,3r1rk1/2q3pp/1pb1R1p1/p7/1n1Q4/P2N1NP1/1PP2P1P/2KR4 w - - 0 1,Qc4,Nxb4,Answer1
39,3q1rk1/p4ppp/1prPp3/8/5P1b/P3B2Q/1PP3PP/2KR3R b - - 0 1,Bf6,Rxd6,Answer1
40,8/1b3R1B/7k/ppb1r1N1/7P/1Pn3P1/P1PP4/2KR4 w - - 0 1,dxc3,Rdf1,Answer1
41,4r1k1/1p3p1p/p3p1nB/1b5B/2q1p3/P5Q1/5PPP/3R2K1 b - - 0 1,Ba4,Qc5,Answer2
42,r3k1nr/ppp3pp/3p4/4pq2/2Pn4/2NP1B2/PP3PPP/R2Q1RK1 b kq - 0 1,O-O-O,Nxf3+,Answer2
43,8/8/pB6/P4p2/1kp2P2/8/2K3p1/8 w - - 0 1,Kb2,Bg1,Answer1
44,2rq3r/1b3k2/1n2pbpp/pp6/8/PBNPQ2P/1PP2PP1/R4RK1 b - - 0 1,b4,Nd5,Answer2
45,5rk1/p2q1rp1/4Q3/P7/8/2P5/6PP/R4R1K w - - 0 1,Qc4,Qxd7,Answer1
46,r1b2k1r/pp2b1p1/n1p1p1Bp/4N1n1/1PPP1q2/P4N1P/2Q2PP1/1R2K2R w K - 0 1,g3,Rb3,Answer2
47,r6k/ppp2r1p/2p2p2/5Q2/2P2b2/1P1p4/PK1N4/4qNRR b - - 0 1,Be5+,Bxd2,Answer1
48,7k/1R4p1/3bp2p/P7/8/6P1/3p1PKP/2rB4 w - - 0 1,Be2,a6,Answer1
49,r1b2rk1/1p3ppp/p2p4/3B3Q/8/P7/1q3PPP/4R1K1 b - - 0 1,Qxa3,g6,Answer2
50,r3kb1r/pp1bnppp/3p1n2/2qPp3/2N1P3/1P2BN2/P4PPP/R2Q1RK1 b kq - 0 1,Qc7,Qb5,Answer1
51,rn4k1/pp3ppp/3R4/2p1r2q/6b1/4BN2/PPP1QP2/2K2B2 b - - 0 1,Nc6,Bxf3,Answer1
52,r2q1rk1/p1p2ppp/2p2n2/3p4/1b1P2b1/2N1PN2/PP1B1PPP/R2Q1RK1 w - - 0 1,Rc1,Ne5,Answer1
53,1k4rr/pppnqp2/3b4/3Pn3/P2N1P1p/1Q2B3/1P1N2Pp/R4R1K b - - 0 1,Ng4,Nc5,Answer2
54,2rr2k1/1q2b1pp/4p3/p2n1p2/PpNB1P2/1P1QP3/6PP/2RR2K1 b - - 0 1,Nxf4,Nc3,Answer2
55,8/p1R5/1p4r1/7p/PP1B4/2Pk1b1P/5P2/5K2 w - - 0 1,Rxa7,Re7,Answer2
56,4rk2/1p2q3/p1r3p1/4pN2/1P3R2/2b4P/P4PP1/1Q1R2K1 b - - 0 1,gxf5,Qf6,Answer2
57,3r2k1/5p1p/1q3bp1/1p6/pP2Q3/6P1/B4PKP/2R5 b - - 0 1,Kg7,Rd2,Answer1
58,8/6k1/6p1/4P2p/5P1r/R7/5K2/8 w - - 0 1,Kf3,Ra4,Answer2
59,r1b2r2/ppq3kp/4p1p1/3pRPQn/2pP4/2N5/PPP2PPP/R5K1 b - - 0 1,exf5,Rxf5,Answer2
60,6k1/1b3ppp/1p6/pP1pp3/P3P2q/3PbPPP/4N1KN/5Q2 b - - 0 1,Qe7,Qh6,Answer1
61,r1bq1rk1/pp3pp1/3p1b1p/2p5/2BQPP2/8/PPP3PP/R1B2RK1 w - - 0 1,Qd3,Qd5,Answer1
62,1r4k1/rBp2ppp/p2p4/3N2q1/4PP2/1QP4b/PP6/6RK b - - 0 1,Qh5,Qh4,Answer2
63,4r2k/p1p3pp/1p2r3/5p2/P1PPqP2/1Q2P1RP/7K/5R2 b - - 0 1,a5,Qc6,Answer1
64,r2r2k1/1b1n1ppp/p3pn2/1p1qN2N/3P4/3B3P/PP3PP1/2RQR1K1 w - - 0 1,Nf4,Be4,Answer1
65,3r4/pp6/k1r5/5Q2/5P1b/2P1R3/PP4PP/6K1 w - - 0 1,Qh5,Re6,Answer1
66,r3k2r/p2qb3/2pp3p/1p2p2n/1P3p2/P1NP1N1b/1P1B1PP1/R2QR1K1 w kq - 0 1,Nxe5,gxh3,Answer1
67,r4rk1/ppq1pNbp/2p2np1/2Ppnb2/3P1B2/6PP/PP2PP2/R2QKB1R w KQ - 0 1,Nxe5,Bxe5,Answer1
68,r1b3q1/pp4pk/2n5/2Q5/2pPpP2/B1P1P3/P5PP/5RK1 b - - 0 1,Qf7,Bd7,Answer1
69,2k3nr/1pp2ppp/p1n3q1/7P/3B4/2N5/PP2B1P1/3RR1K1 b - - 0 1,Qg3,Qg5,Answer2
70,1r5r/pQpkq3/3b1np1/4p1Np/1PP1P1b1/4B3/P4PPP/R4RK1 w - - 0 1,Qxa7,Qa6,Answer2
71,2r4k/6bp/p3qpp1/1p1NpP2/1P1nP3/P3Q1PP/6BK/2R5 b - - 0 1,Qd7,Qe8,Answer2
72,2Q5/6pk/5n2/7p/3BpP1P/P3P1PK/5q2/8 w - - 0 1,Qc1,Qc7,Answer1
73,6k1/4rp2/4p1pp/PprbP3/5QPq/PB1R4/7P/5RK1 b - - 0 1,Bxb3,Qg5,Answer2
74,r1bqkb1r/pp1p1ppp/2n1p3/3nP3/3P4/5N2/PP3PPP/RNBQKB1R w KQkq - 0 1,Bb5,Nc3,Answer2
75,r1bqr2k/pppp2pp/5p2/4n3/2B1Q3/2B5/PPP2PPP/R3R1K1 b - - 0 1,Nxc4,d6,Answer2
76,r2qkb1r/1p1n1ppp/p3pn2/1N1p4/2pP1B2/P1Q1PN2/1PP2PPP/R3K2R w KQkq - 0 1,Nd6+,Nc7+,Answer2
77,5b2/R7/6pk/4p2p/8/7P/5KP1/8 w - - 0 1,Ke3,Rc7,Answer2
78,8/p7/4kpR1/b7/3BPPP1/2p5/PrK5/8 w - - 0 1,Kd3,Kc1,Answer2
79,4Qb2/3R3k/4p1p1/6q1/4b3/1B5P/PP4P1/6K1 b - - 0 1,Kh6,Bg7,Answer2
80,r1b1k2r/ppp2ppp/2n2q2/3p4/4p2N/BP2P1P1/P1PP1KBP/R2Q3R w kq - 0 1,Ke1,Ke2,Answer1
81,3r1bk1/1r3ppp/1qnpp3/p1p4N/2P1Q3/1PB3P1/P3PP1P/1R1R2K1 b - - 0 1,e5,Qc7,Answer1
82,8/4B3/6n1/3K1k1p/7P/8/8/8 w - - 0 1,Kd6,Bg5,Answer2
83,5k1r/1pr1pp2/1q1p1np1/p2P4/P1P2Q1P/1P2RB2/4RP2/6K1 b - - 0 1,Rh7,Rd7,Answer1
84,rnbqkb1r/ppppp2p/5np1/5p1P/8/4P1P1/PPPP1P2/RNBQKBNR b KQkq - 0 1,g5,Nxh5,Answer1
85,2kr2nr/ppp2ppp/2b2q2/3pb3/3N4/1PN1P3/P1P2PPP/R1BQ1RK1 w - - 0 1,Nxc6,a4,Answer2
86,r1bqkb2/pp2p2Q/2np2p1/1Bp5/8/3P4/PPP1rPPP/RN3RK1 b q - 0 1,Bf5,Bd7,Answer1
87,r3kr2/pp4pp/1bn5/2N5/3P2bq/5B2/PP3NPP/R1BQ1K1R w q - 0 1,Qe2+,Bxg4,Answer1
88,3rkr2/1R3pp1/p1p1bq2/3n2p1/2B5/Q7/P1P2PPP/5RK1 b - - 0 1,Qc3,Qe5,Answer2
89,2rqkb1r/1p3ppp/p3p3/3bP1N1/3Pp3/8/PP3PPP/R1BQR1K1 b k - 0 1,Be7,Bb4,Answer1
90,5rk1/ppp2p2/6p1/6P1/4N3/6K1/Pr6/7R b - - 0 1,Rxa2,Rd8,Answer2
91,8/p7/P7/8/1P4pk/5K1p/7P/8 w - - 0 1,Ke3,Kf2,Answer2
92,6k1/R4ppp/8/8/2N4P/8/5PPK/1r2b3 b - - 0 1,Bxf2,g6,Answer2
93,1k1B2r1/1pp4p/p1qbQ3/P3p3/7n/2NP4/1PP2PP1/R4RK1 w - - 0 1,f3,Qxg8,Answer2
94,7r/pp2ppbp/1k4pn/6N1/3P1B2/7P/P4PP1/2R3K1 w - - 0 1,d5,Rc7,Answer1
95,r1b2rk1/p1p2ppp/2pb1n2/4q3/2P1P3/2N2B2/PP3PPP/R1BQ1RK1 w - - 0 1,Be3,g3,Answer2
96,8/2k5/1p6/1Kn5/5r2/8/B2R4/8 w - - 0 1,Rh2,Bc4,Answer1
